Set No.,Tune No.,Tune Title,Learning Video,Genre,Added,Rhythm,Key,Mode,Part
67,155,Old Favourite (Club Ceili),https://youtu.be/aDROLVYJWjI,Irish,24/9/2022,Double Jig,G,Major,2
68,156,Tarbolton,https://youtu.be/O1pM8UjRBK8,Irish,26/9/2022,Double Reel,E,Dorian,2
68,157,Longford Collector,https://youtu.be/5IXUuiUdDfg,Irish,27/9/2022,Double Reel,G,Major,2
68,158,Sailor's Bonnet,https://youtu.be/0Rmro4thtnc,Irish,28/9/2022,Single Reel,D,Major,2
69,159,Home Ruler,https://youtu.be/2zuD5geHP2s,Irish,29/9/2022,Hornpipe,D,Major,2
69,160,Kitty's Wedding,https://youtu.be/Nu2YxdERAn0,Irish,30/9/2022,Hornpipe,D,Major,2
70,161,Anderson's,https://youtu.be/jcq7oCIv-8M,Irish,3/10/2022,Single Reel,D,Major,2
70,162,Drunken Landlady,https://youtu.be/9ok0useDorU,Irish,4/10/2022,Single Reel,E,Dorian,2
70,163,Miss McLeod's,https://youtu.be/x4mVlUkecPc,Irish,5/10/2022,Single Reel,G,Major,2
71,164,Hill Of Tara,https://youtu.be/Mn42-YRE5XA,Irish,6/10/2022,Barndance,G,Major,2
71,165,If there weren't any Women,https://youtu.be/hIEs6j3yeu0,Irish,7/10/2022,Barndance,G,Major,2
72,166,The Returned Yank,https://youtu.be/vVKGANhX51I,Irish,10/10/2022,Double Jig,D,Major,2
72,167,The Haunted House,https://youtu.be/dsVDyXJ-Mbo,Irish,11/10/2022,Double Jig,G,Major,2
72,168,The Leitrim Fancy,https://youtu.be/McbMbUWG1TA,Irish,12/10/2022,Double Jig,E,Dorian,2
73,169,The Plains of Boyle,https://youtu.be/ri2ROeSzrwg,Irish,13/10/2022,Hornpipe,D,Major,2
73,170,Cronin's Hornpipe,https://youtu.be/n196dONLjW8,Irish,14/10/2022,Hornpipe,G,Major,2
74,171,Miss Monaghan,https://youtu.be/JJepWI2MAhI,Irish,26/10/2022,Double Reel,D,Major,2
74,172,Green Fields of Rosbeigh,https://youtu.be/BFu43A3PTQk,Irish,27/10/2022,Double Reel,E,Dorian,2
74,173,Sheehan's,https://youtu.be/otfXwepbR4Q,Irish,28/10/2022,Double Reel,G,Major,2
75,174,Dever the Dancer,https://youtu.be/ecMuQy3uV4s,Irish,29/10/2022,Slip Jig,E,Dorian,2
75,175,Blast of Wind,https://youtu.be/jTaMmz7YcU8,Irish,30/10/2022,Slip Jig,D,Major,2
76,176,Wandering Minstrel,https://youtu.be/WO-jrq323MM,Irish,31/10/2022,Double Jig,D,Major,3
76,177,Ship in Full Sail,https://youtu.be/HCQSzTPJQVc,Irish,1/11/2022,Double Jig,G,Major,3
77,178,Scartaglen,https://youtu.be/F2X9Qj04zkM,Irish,2/11/2022,Polka,G,Major,3
77,179,The Maids of Ardagh,https://youtu.be/2pVJTTdsDls,Irish,3/11/2022,Polka,D,Major,2
77,180,Cuil Aodha,https://youtu.be/CsEjLCeWDTc,Irish,4/11/2022,Polka,A,Major,2
78,181,Jackie Coleman's,https://youtu.be/cb3jXc0G13M,Irish,19/11/2022,Double Reel,D,Major,2
78,182,A Cup of Tea,https://youtu.be/iy3EXUv5w-Q,Irish,8/11/2022,Double Reel,E,Dorian,3
78,183,Red Haired Lass,https://youtu.be/O6on5SbRvW4,Irish,9/11/2022,Double Reel,G,Major,2
79,184,My Darling Asleep,https://youtu.be/KqyjIMndSzw,Irish,20/11/2022,Double Jig,D,Major,2
79,185,Trip to Athlone,https://youtu.be/zlsKrhwjeOw,Irish,21/11/2022,Double Jig,D,Major,2
80,186,Salamanca,https://youtu.be/72ulTAppIGg,Irish,15/11/2022,Double Reel,D,Major,2
80,187,London Lasses,https://youtu.be/FrRNhjvz3qM,Irish,16/11/2022,Double Reel,G,Major,2
81,188,The Frost is All Over,https://youtu.be/VxArcRYNNqo,Irish,24/11/2022,Double Jig,D,Dorian,2
81,189,Langstrom's Pony,https://youtu.be/_VZ0zp1CLZA,Irish,26/11/2022,Double Jig,A,Mixolydian,2
,190,The Trip We Took Over the Mountain,https://youtu.be/r1Mdwvaj6v0,Irish,5/12/2022,Waltz,G,Major,2
82,191,Skylark,https://youtu.be/lAsYz0WhzQI,Irish,6/12/2022,Double Reel,D,Major,2
82,192,Roaring Mary,https://youtu.be/AGNlN7InWEg,Irish,7/12/2022,Double Reel,D,Major,2
83,193,The Morning Lark,https://youtu.be/ncIQxAIGhl8,Irish,8/12/2022,Double Jig,D,Major,2
83,194,Joe Cooley's Jig,https://youtu.be/_VTML-zXeLY,Irish,9/12/2022,Double Jig,D,Major,2
83,195,Eavesdropper,https://youtu.be/VDI9S6nV4Js,Irish,10/12/2022,Double Jig,G,Major,2
84,196,The Scholar,https://youtu.be/fR-Ae8Bbngg,Irish,13/12/2022,Double Reel,D,Major,2
84,197,The Teetotaller,https://youtu.be/RiY5uEO2Evo,Irish,14/12/2022,Double Reel,G,Major,2
84,198,The Monaghan Twig,https://youtu.be/6LkvK9uRiBw,Irish,14/8/2023,Single Reel,A,Mixolydian,2
85,199,Queen of the Fair,https://youtu.be/cWAXwjKa3Sw,Irish,2022/12/,Double Jig,D,Mixolydian,
85,200,Rambling Pitchfolk,https://youtu.be/4BU496Y6OZk,Irish,22/12/2022,Double Jig,D,Major,
86,201,The Moving Cloud ,https://youtu.be/GoevLwodZws,Irish,10/1/2023,Double Reel,G,Major,3
86,202,The Bucks of Oranmore,https://youtu.be/t7LhBOINrtQ,Irish,16/1/2023,Double Reel,D,Major,2
87,203,The Cavan Brigade,https://youtu.be/RY_FJ3Z7jyg,Irish,17/1/2023,Double Jig,D,Mixolydian,2
87,204,When the Cock Crows It Is Day,https://youtu.be/aJ-1vbIVERc,Irish,18/1/2023,Double Jig,G,Major,2
87,205,Sixpenny Money,https://youtu.be/RD5SzH7VLaw,Irish,20/1/2023,Double Jig,D,Major,2
88,206,The Galway Hornpipe,https://youtu.be/-mp1bkZo0KU,Irish,24/1/2023,Hornpipe,D,Major,2
88,207,The Golden Eagle,https://youtu.be/5N_aUiBAiJ8,Irish,25/1/2023,Hornpipe,G,Major,2
89,208,Morning Star,https://youtu.be/VZ-pFGjRboU,Irish,27/1/2023,Single Reel,G,Major,2
89,209,Abbey Reel,https://youtu.be/s5s8y-367y8,Irish,27/1/2023,Single Reel,A,Dorian,2
89,210,Mountain Road,https://youtu.be/n8IhKC_gG80,Irish,28/1/2023,Single Reel,D,Major,2
90,211,Tommy Mulhaire's,https://youtu.be/zrYp3-vi7Eo,Irish,30/1/2023,Double Jig,G,Major,2
90,212,Winnie Haye's,https://youtu.be/nJEx3qS_fVk,Irish,31/1/2023,Double Jig,A,Dorian,2
90,213,Tell Her I am,https://youtu.be/VUkGaHM_rpA,Irish,1/2/2023,Double Jig,G,Dorian,3
91,214,Up and Away,https://youtu.be/2OijbTms7Kg,Irish,2/2/2023,Polka,G,Major,2
91,215,The Merry Girl,https://youtu.be/a9piSmyogC8,Irish,3/2/2023,Polka,G,Major,2
92,216,The Lark on the Strand,https://youtu.be/08i5nI9JnQI,Irish,8/2/2023,Double Jig,G,Major,2
92,217,Hag with the Money,https://youtu.be/UHieWllvUbE,Irish,9/2/2023,Double Jig,D,Major,2
92,218,The Hag at the Churn,https://youtu.be/EAsjYueOKlA,Irish,10/2/2023,Double Jig,D,Mixolydian,2
93,219,Caislean an Oir (Golden Castle),https://youtu.be/gGNBoYHvVEo,Irish,11/2/2023,Hornpipe,A,Dorian,2
93,220,Her Lovely Hair was Flowing Down Her Back,https://youtu.be/HMgh8anLt8M,Irish,13/2/2023,Hornpipe,D,Major,2
94,221,The Sword in the Hand,https://youtu.be/kNTZRHl780I,Irish,14/2/2023,Single Reel,E,Dorian,2
94,222,Mulqueen's ,https://youtu.be/ZkL672oZzxM,Irish,15/2/2023,Single Reel,D,Major,2
94,223,The Limestone Rock,https://youtu.be/PD-fzLJwFHA,Irish,16/2/2023,Single Reel,G,Major,2
95,224,Fisherman's,https://youtu.be/Ph-sjU_-w-s,Irish,19/2/2023,Slip Jig,D,Major,2
95,225,The Snowy Path,https://youtu.be/rAKjC5MrQss,Irish,19/2/2023,Slip Jig,D,Major,2
96,226,The Dublin Reel,https://youtu.be/Fzpc9Ou_lyM,Irish,22/2/2023,Single Reel,D,Major,3
96,227,The Boys of Ballisodare Reel,https://youtu.be/wnqEwKgK8OM,Irish,23/2/2023,Single Reel,G,Major,3
97,228,Kilmovee,https://youtu.be/jxXKY-STGEY,Irish,25/2/2023,Double Jig,G,Major,2
97,229,The Maid at the Well,https://youtu.be/bUlugU_5xiQ,Irish,27/2/2023,Double Jig,A,Major,2
97,230,Pull the Knife and Stuck It Again,https://youtu.be/dcgrKT-g5pM,Irish, ,Double Jig,E,Dorian,2
98,231,Merrily Kiss the Quaker's Wife,https://youtu.be/cvdRen_eKcE,Irish,2/3/2023,Slide,G,Major,2
98,232,Micho Russell's,https://youtu.be/t8zHnL-WHRY,Irish,3/3/2023,Slide,D,Major,2
98,233,Eileen Ni Riordain's,https://youtu.be/zmKX9AvWJN8,Irish,4/3/2023,Slide,A,Mixolydian,2
99,234,Killarney Boys Of Pleasure,https://youtu.be/0Z0kYFxz29Q,Irish,6/3/2023,Double Reel,E,Dorian,2
99,235,Donald Blue,https://youtu.be/xxDmjIKfB7k,Irish,7/3/2023,Single Reel,D,Major,2
99,236,Pigtown,https://youtu.be/8bkSKe6JU6E,Irish,8/3/2023,Fling,G,Major,2
100,237,The Cock and the Hen,https://youtu.be/SuqWzC-DN_M,Irish,10/3/2023,Slip Jig,F#,minor,2
100,238,Foxhunter's Slip Jig,https://youtu.be/7hud_s-uoCk,Irish,11/3/2023,Slip Jig,D,Major,4
100,239,The Swaggering Jig,https://youtu.be/JXNg3ohNB9A,Irish,14/3/2023,Slip Jig,G,Major,2
,240,O'Caloran's Welcome,https://youtu.be/EqU6flcb7NA,Irish,15/3/2023,O'Carolan,A,minor,2
101,241,Boys of the Lough,https://youtu.be/DYE3C2q56xM,Irish,16/3/2023,Double Reel,D,Major,2
101,242,Music in the Glen,https://youtu.be/gOW4cUch124,Irish,17/3/2023,Double Reel,G,Major,2
,243,The Battle of Auhgrim,https://youtu.be/8WK9TImeVuw,Irish,20/3/2023,March,A,Dorian,2
138,244,Rodney's Glory,https://www.youtube.com/watch?v=_oaRebdBKag,Irish,21/3/2023,Set Dance,A,Dorian,2
102,245,Memories of Ballymote,https://youtu.be/WYKJPWWyX68,Irish,22/3/2023,Polka,G,Major,2
102,246,Gurteen Cross,https://youtu.be/6_S0JlZCv9Y,Irish,23/3/2023,Polka,G,Major,2
103,247,Jimmy Duffy's no.1,https://youtu.be/SDBElTyu4pc,Irish,24/3/2023,Barndance,G,Major,2
103,248,Jimmy Duffy's no.2,https://youtu.be/k-WQRle8244,Irish,25/3/2023,Barndance,G,Major,2
138,249,The Job of Journey Work,https://youtu.be/ILpH9UOo3fQ,Irish,26/3/2023,Set Dance,D,Major,2
,250,O'Caloran's Farewell,https://youtu.be/-JCJG3CWK4g,Irish,27/3/2023,O'Carolan,A,Dorian,2
104,251,Sailor on the Rock,https://youtu.be/NqeEbMhDK2E,Irish,28/3/2023,Double Reel,D,Major,2
104,252,Fox in the Town,https://youtu.be/i8A2fYaVYG4,Irish,29/3/2023,Double Reel,G,Major,2
104,253,Otter's Holt,https://youtu.be/WIh1aMDbZHQ,Irish,30/3/2023,Double Reel,B,minor,2
105,254,Behind the Haystack,https://youtu.be/nDXGG5TUAzk,Irish,1/4/2023,Double Jig,D,Major,2
105,255,Munster Buttermilk,https://youtu.be/oeamFFpIzP4?si=8gZGexyb2Bg2aLk6,Irish,2/4/2023,Double Jig,G,Major,2
106,256,John Brennan's,https://youtu.be/RP7y7BspBc4,Irish,3/4/2023,Double Reel,D,Major,2
106,257,Laurel Tree,https://youtu.be/GrOpynxYZhQ,Irish,5/4/2023,Double Reel,A,Dorian,2
106,258,The Hare's Paw,https://youtu.be/QRSKQ8s5zhU,Irish,6/4/2023,Single Jig,G,Major,2
107,259,John Doherty's Mazurka,https://youtu.be/OYhG8LG6HPQ,Irish,7/4/2023,Mazurka,D,Major,2
107,260,Vincent Campbell's Mazurka #2,https://youtu.be/pkOgau5FDDU,Irish,8/4/2023,Mazurka,G,Major,2
108,261,The Priest  ,https://youtu.be/kOeVSNYPY60,Irish,10/4/2023,Slide,G,Major,2
108,262,The Cat That Rambles To The Child's Saucepan,https://youtu.be/ruTSmfTh24E,Irish,11/4/2023,Slide,D,Major,2
108,263,Padraig O'Keeffe's,https://youtu.be/HCsdLbq_JM4,Irish,12/4/2023,Slide,B,minor,2
109,264,The Galway Rambler,https://youtu.be/HNr_Lk4VeEo,Irish,14/4/2023,Single Reel,G,Major,2
109,265,Eddie Moloney's Favourite,https://youtu.be/v4JjzMwh2Dg,Irish,15/4/2023,Single Reel,E,Dorian,2
109,266,The Ivy Leaf,https://youtu.be/d1s4bgDenAo,Irish,16/4/2023,Single Reel,A,Mixolydian,2
110,267,The Liverpool Hornpipe,https://www.youtube.com/watch?v=L1YAzZfPmEs,Irish,17/4/2023,Hornpipe,D,Major,2
110,268,The Derry Hornpipe,https://youtu.be/cleZXnOugDY,Irish,18/4/2023,Hornpipe,D,Major,2
111,269,Apples in Winter,https://youtu.be/oHC2aFOff_s,Irish,19/4/2023,Double Jig,D,Major,2
111,270,Gillian's Apples,https://youtu.be/gJ8daTDt4Iw,Irish,20/4/2023,Double Jig,G,Major,2
112,271,Martin Wynne's No.3,https://youtu.be/Du8boWqTedQ,Irish,25/4/2023,Double Reel,G,Major,2
112,272,Martin Wynne's No.2,https://youtu.be/5hJOqbTa9xo,Irish,26/4/2023,Double Reel,B,minor,2
112,273,Martin Wynne's No.1,https://youtu.be/Zm0Ah1nX3-I,Irish,27/4/2023,Double Reel,D,Major,2
113,274,The Monaghan Jig,https://youtu.be/hLzVUgLCaOg,Irish,28/4/2023,Double Jig,E,Dorian,4
113,275,Nora Criona,https://youtu.be/tkMHcEgzvGM,Irish,29/4/2023,Double Jig,G,Major,2
,276,Sheebeg Sheemore,https://youtu.be/VC-M-RjBIK8,Irish,2/5/2023,O'Carolan,D,Major,2
114,277,Poll Ha'Penny,https://youtu.be/-H7hfqN-xgs,Irish,3/5/2023,Hornpipe,D,Mixolydian,2
114,278,Miss Galvin's,https://youtu.be/ak4kwCW4uWk,Irish,4/5/2023,Hornpipe,D,Major,2
115,279,The Tulla Polka,https://youtu.be/cbsVGiUSt0U,Irish,5/5/2023,Polka,G,Major,2
115,280,The Siege of Ennis,https://youtu.be/JKChGLD1iEo,Irish,6/5/2023,Polka,D,Major,2
116,281,Old Man Dillon,https://youtu.be/XdjVU8SUfA0,Irish,8/5/2023,Double Jig,A,Dorian,2
116,282,The Battering Ram,https://youtu.be/SU2uxfnxAHw,Irish,9/5/2023,Double Jig,G,Major,3
117,283,Roscommon,https://youtu.be/TIAJVrWkLTs,Irish,10/5/2023,Single Reel,E,minor,3
117,284,Ah Surely,https://youtu.be/0nrUd_IWBsI,Irish,11/5/2023,Double Reel,A,Dorian,2
117,285,Five Mile Chase,https://youtu.be/VL_DJMUMhDM,Irish,12/5/2023,Single Reel,G,Major,2
118,286,The New Broom ,https://youtu.be/KwD6Sc9f-wM,Irish,15/5/2023,Barndance,G,Major,2
118,287,Tara Diamond's Barndance,https://youtu.be/2PAFpfhTPco,Irish,16/5/2023,Barndance,G,Major,2
119,288,Cúigiú Lassies,https://youtu.be/6838xU3VYGU,Irish,17/5/2023,Double Jig,G,Major,2
119,289,Billy McCormac's Jig,https://youtu.be/qVIhxKWeB2Y,Irish,18/5/2023,Double Jig,A,Dorian,2
119,290,The Black Rogue,https://youtu.be/Dcg4qNzs13Q,Irish,19/5/2023,Double Jig,D,Major,2
120,291,The Dunmore Lassies,https://youtu.be/BWdCiYJd0TE,Irish,23/5/2023,Double Reel,E,minor,2
120,292,My Love is in America,https://youtu.be/LzG1Y1fZZ6A,Irish,24/5/2023,Double Reel,D,Major,2
120,293,The Girl That Broke My Heart,https://youtu.be/rmyRU7CWAZU,Irish,25/5/2023,Double Reel,A,Mixolydian,2
121,294,The Humours of Lisheen,https://youtu.be/SqPNtmfToNQ,Irish,26/5/2023,Single Jig,G,Major,2
121,295,The Bluebells Are Blooming,https://youtu.be/-Wyd0Efa0a4,Irish,27/5/2023,Single Jig,G,Major,3
122,296,The Soldier's Joy,https://youtu.be/YkzihmlD7wg,Irish,28/5/2023,Hornpipe,D,Major,2
122,297,The Red Haired Boy,https://youtu.be/7ZHhg89JVmM,Irish,29/5/2023,Hornpipe,A,Mixolydian,2
123,298,O'Connor's Polka,https://youtu.be/nIT0jClR2t0,Irish,2/6/2023,Polka,G,Major,2
123,299,The Top of Maol,https://youtu.be/9LR0gPtJidY,Irish,3/6/2023,Polka,A,Dorian,2
123,300,Taur Polka,https://youtu.be/il7xoijjg0s,Irish,4/6/2023,Polka,D,Mixolydian,2
,301,Inisheer,https://youtu.be/nV5B8f9PRVE,Irish,18/7/2023,Song Air,G,Major,2
,302,Down by the Salley Gardens,https://youtu.be/tDIGxUZtv28,Irish,19/7/2023,Song Air,D,Major,2
,303,The Last Rose of Summer,https://youtu.be/kouSYz-hnHk,Irish,20/7/2023,Song Air,G,Major,2
,304,Da Slockit Light,https://youtu.be/_-q3kjwRUNA,Scottish,21/7/2023,Song Air,D,Major,2
,305,Foggy Dew,https://youtu.be/e7OKPOZjg28,Irish,22/7/2023,Song Air,E,minor,2
,306,Danny Boy,https://youtu.be/f2kFr8eiFNg,Irish,23/7/2023,Song Air,G,Major,2
,307,Geaftaí Baile Bhuí,https://youtu.be/GF7pwVzBo2Y,Irish,24/7/2023,Song Air,G,Major,2
,308,The Level Plain,https://youtu.be/7rI45vdlTgA,Irish,25/7/2023,Song Air,G,Major,2
,309,Bruach na Carraige Baine,https://youtu.be/0LBYLJSdyuo,Irish,26/7/2023,Song Air,D,Major,2
,310,O'Carolan's Draught,https://youtu.be/ERBhiuXhyDg,Irish,27/7/2023,O'Carolan,G,Major,2
