Set No.,Tune No.,Tune Title,Learning Video,Genre,Added,Rhythm,Key,Mode,Part
124,311,Brendan Tonra's,https://youtu.be/Rsc7yFAdZFA,Irish,15/11/2023,Double Jig,D,Major,2
124,312,Banks of Lough Gowna,https://youtu.be/hdOoapPv-GY,Irish,16/11/2023,Double Jig,B,minor,2
124,313,Tom Busby's,https://youtu.be/GMKkGb3L7vI,Irish,17/11/2023,Double Jig,E,minor,2
125,314,Swinging on the Gate,https://youtu.be/feinKqajQLk,Irish,19/11/2023,Double Reel,G,Major,2
125,315,Cameronian,https://youtu.be/vh_Y2STrmH8,Irish,24/11/2023,Double Reel,D,Major,2
125,316,Down the Broom,https://youtu.be/crLw9M3yLHo,Irish,26/11/2023,Double Reel,A,minor,2
126,317,Garret Barry's Jig,https://youtu.be/fAIkS-5J5oI,Irish,9/12/2023,Double Jig,D,Mixolydian,2
126,318,Tatter Jack Walsh,https://youtu.be/97peoa8sopg,Irish,10/12/2023,Double Jig,D,Major,2
127,319,McGivney's Hornpipe ,https://youtu.be/20WnuTIDfrY,Irish,13/12/2023,Hornpipe,E,minor,2
127,320,From Galway to Dublin,https://youtu.be/018bIgiaGhg,Irish,14/12/2023,Hornpipe,E,minor,2
128,321,Terry Teehan's Polka,https://youtu.be/vv8EyKLUE_U,Irish,17/12/2023,Polka,G,Major,2
128,322,John Egan's Polka,https://youtu.be/AsRWRMSI7Gg,Irish,18/12/2023,Polka,D,Major,2
128,323,John Walsh's Polka,https://youtu.be/gO3rwKwfXDo,Irish,19/12/2023,Polka,G,Major,2
129,324,Dumphy's Hornpipe,https://youtu.be/QTXZB3aS08I,Irish,21/12/2023,Hornpipe,G,Major,2
129,325,The Tailor's Twist,https://youtu.be/V6PL9pp3wz0,Irish,22/12/2023,Hornpipe,D,Major,2
130,326,The Tar road to Sligo,https://youtu.be/SY1PYTB_VQc,Irish,10/1/2024,Double Jig,B,minor,2
130,327,Paddy Clancy's,https://youtu.be/bjdmrWKoR5M,Irish,10/1/2024,Double Jig,D,Major,2
131,328,The Road to Rio,https://youtu.be/ZSBfegfAQKA,Irish,12/1/2024,Double Reel,G,Major,2
131,329,The Fermoy lasses,https://youtu.be/DdaEmFAttic,Irish,13/1/2024,Double Reel,E,minor,2
131,330,The Shaskeen,https://youtu.be/PMK3LK67IdU,Irish,3/1/1900,Double Reel,G,Major,2
132,331,John Micky's Slide,https://youtu.be/1iItjl-bA5U,Irish,16/1/2024,Slide,D,Major,2
132,332,Worn Torn Petticoat,https://youtu.be/CWKPKb-NE2c,Irish,17/1/2024,Slide,A,Dorian,2
132,333,Dingle Regatta,https://youtu.be/LeoHi5qgzjM,Irish,18/1/2024,Slide,G,Major,3
133,334,John Brosnan's Polka,https://youtu.be/ZfTDxfHZX1Y,Irish,20/1/2024,Polka,G,Major,3
133,335,Toureendarby,https://youtu.be/VbkReQfq4kU,Irish,21/1/2024,Polka,A,Dorian,2
133,336,Pádraig O'Keeffe's,https://youtu.be/KVF82wde_z4?si=_wDqxihF3bfLEan5,Irish,22/1/2024,Polka,A,Major,2
134,337,Templehouse,https://youtu.be/BohnngGPaxU,Irish,23/1/2024,Single Reel,E,minor,2
134,338,The Daily Maid,https://youtu.be/J2Y0y-Q1K6c,Irish,24/1/2024,Single Reel,D,Major,2
134,339,The Crooked Road to Dublin,https://youtu.be/m_43vdBGrMw,Irish,25/1/2024,Single Reel,G,Major,2
,340,Ar Éirinn ní Neosfainn Cé Hí,https://youtu.be/9U_O3Be4kl4,Irish,5/2/2024,Slow Air,G,Major,2
135,341,Blackthorn Stick,https://youtu.be/mjLOc3J1_3Y,Irish,6/2/2024,Double Jig,G,Major,2
135,342,Condons Frolics,https://youtu.be/3UAW4HMLCOw,Irish,7/2/2024,Double Jig,E,Dorian,2
135,343,Scotsman over the Border,https://youtu.be/S9ihN9nB0qc,Irish,8/2/2024,Double Jig,D,Major,2
136,334,Drops of Brandy,https://youtu.be/a_7lwlmx-rY,Irish,12/2/2024,Slip Jig,D,Major,2
136,335,Elizabeth Kelly's,https://youtu.be/zQYkmt0jHy4,Irish,13/2/2024,Slip Jig,D,Mixolydian,2
137,346,The Maids of Selma,https://youtu.be/SK3pt9GsbW0,Irish,17/2/2024,Double Jig,E,minor,2
137,347,Up in the Air,https://youtu.be/yfS2Uepzm8c,Irish,18/2/2024,Double Jig,B,minor,2
137,348,The Mouse in the Kitchen ,https://youtu.be/_jHi6vyopn0,Irish,20/2/2024,Double Jig,A,Major,2
139,349,The Keel Row,https://youtu.be/5TZZm9AxJdU,Irish,22/2/2024,Fling,G,Major,2
139,350,Johnny will you marry me,https://youtu.be/c9BJD8pu3BU,Irish,23/2/2024,Fling,G,Major,2
140,351,The Killavil Reel,https://youtu.be/QNHqsTd7JOQ,Irish,25/2/2024,Double Reel,D,Major,2
140,352,Sweeney's Buttermilk Mary,https://youtu.be/Sd8qs4FBJNM,Irish,26/2/2024,Double Reel,B,minor,2
140,353,Reconciliation,https://youtu.be/_KiEhHvbivs,Irish,27/2/2024,Double Reel,A,Major,2
141,354,Jim Keeffe's,https://youtu.be/jyy3HbXJtAU,Irish,1/3/2024,Polka,D,Major,2
141,355,The Newmarket,https://youtu.be/W-xxrDZ-bW8,Irish,2/3/2024,Polka,A,Major,2
142,356,The Swallowtail Jig,https://youtu.be/pvLvX5qmXXY,Irish,5/3/2024,Double Jig,E,minor,2
142,357,Paddy O'Rafferty's,https://youtu.be/JuiuVHcUVoE,Irish,5/3/2024,Double Jig,D,Major,3
143,358,Connemara Stockings,https://youtu.be/1tMn2qmzEuM,Irish,11/3/2024,Single Reel,D,Major,3
143,359,Westmeath Hunt,https://youtu.be/Q3to5exZ5dU,Irish,12/3/2024,Single Reel,D,Major,4
143,360,The Clogher,https://youtu.be/lTB3V437G4I,Irish,13/3/2024,Single Reel,D,Major,3
144,361,The Butlers of Glen Avenue,https://youtu.be/LzrYdFtF2zE,Irish,15/3/2024,Double Jig,G,Major,2
144,362,Christy Barry's No.2,https://youtu.be/zWOGZyVGrrc,Irish,16/3/2024,Double Jig,G,Major,2
144,363,The Stolen Purse,https://youtu.be/k0tRU_HmU-Y,Irish,18/3/2024,Double Jig,A,Major,2
145,364,The Tipperary Hills,https://youtu.be/zyKyhu9v5ZM,Irish,20/3/2024,Hop Jig,D,Major,2
145,365,Cucanandy,https://youtu.be/7NKz7tvtgdo?si=lpig3xxWhGHkvCTB,Irish,21/3/2024,Hop Jig,G,Major,2
145,366,The Dusty Miller,https://youtu.be/010kyYsj8mk,Irish,22/3/2024,Hop Jig,D,Major,2
,367,The Munster Cloak,https://youtu.be/_yBVPcNAfPI,Irish,26/3/2024,Waltz,G,Major,2
146,368,The Blackberry Blossom,https://youtu.be/GFn3cyw9rxs,Irish,27/3/2024,Single Reel,G,Major,2
146,369,The Silver Spire,https://youtu.be/ihOg1K-rwoE,Irish,28/3/2024,Double Reel,D,Major,2
146,370,The Broken Pridge,https://youtu.be/ugjgbR168U4,Irish,29/3/2024,Double Reel,D,Dorian,2
147,371,The Wonder Hornpipe,https://youtu.be/vpVTtyDZtJw,Irish,1/4/2023,Hornpipe,G,Major,2
147,372,The Acrobat Hornpipe,https://youtu.be/nWTaq_lH460,Irish,4/1/2024,Hornpipe,D,Major,2
148,373,The Sporting Pitchfork,https://youtu.be/kJyxzId36bQ,Irish,3/4/2024,Double Jig,D,Major,2
148,374,The Maid at the Spinning Wheel,https://youtu.be/FAvBKkssORY,Irish,4/4/2024,Double Jig,G,Major,4
148,375,The Gallowglass,https://youtu.be/4Llni9alVbY,Irish,5/4/2024,Double Jig,A,minor,2
149,376,The Cockoo,https://youtu.be/ZDPyMUlERcw,Irish,12/4/2024,Hornpipe,G,Major,2
149,377,The Blackbird Hornpipe,https://youtu.be/mJ7SLNm7rpc,Irish,16/4/2024,Hornpipe,G,Major,3
150,378,The Boys of the Town,https://youtu.be/yGZPJFKjRc8,Irish,18/4/2024,Double Jig,G,Major,2
150,379,Jackson's Jig,https://youtu.be/9yBnirgR6mI,Irish,19/4/2024,Double Jig,G,Major,2
150,380,The leg of the duck,https://youtu.be/UikEm63P5lc,Irish,20/4/2024,Double Jig,D,Major,2
151,381,The Bag of Spuds,https://youtu.be/-DlT7YAudmk,Irish,22/4/2024,Double Reel,A,minor,2
151,382,Around the World for Sport,https://youtu.be/FSxEaVd_gWs,Irish,23/4/2024,Single Reel,E,minor,2
151,383,Peeler's Jacket,https://youtu.be/KnWLezAgCKE,Irish,24/4/2024,Double Reel,G,Major,2
,384,She Moved through the Fair,https://youtu.be/ucO9S_Ycwyo,Irish,26/4/2024,Song Air,D,Mixolydian,
,385,An Mhaighdean Mhara,https://youtu.be/vR0IKRV0cwY,Irish,27/4/2024,Slow Air,D,Major,
152,386,Sean Bui,https://youtu.be/R6j7dgViok0,Irish,2024/429,Double Jig,D,Major,2
152,387,"Old Hag, You Have Killed Me",https://youtu.be/DTWeLPQIvjs,Irish,30/4/2024,Double Jig,D,Mixolydian,2
152,388,Dinny Delaney's,https://youtu.be/tvOXOOqLLXE,Irish,1/5/2024,Double Jig,D,Mixolydian,2
153,389,The Pride Of Petravore ,https://youtu.be/5DXyGBw_QM4?si=_JbFEyuxRIrvbWTI,Irish,3/5/2024,Hornpipe,E,minor,2
153,390,The Galway Bay Hornpipe,https://youtu.be/JKb3wowMNKs,Irish,4/5/2024,Hornpipe,A,minor,2
,391,Limerick's Lamentation,https://youtu.be/kbP0KYB6jXk,Irish,10/5/2024,Song Air,G,Major,
,392,The Parting of Friends,https://youtu.be/hHbVCObUXO8,Irish,15/5/2024,Song Air,E,minor,
,393,Travelling through Blarney,https://youtu.be/yorDGPksBAQ,Irish,16/5/2024,Song Air,G,Major,
,394,Port Na bPúcai,https://youtu.be/SmpcMXrsue4,Irish,21/5/2024,Song Air,D,Mixolydian,
,395,The Wild Geese,https://youtu.be/y8GXT09uBz0,Irish,24/5/2024,Song Air,G,Major,
,396,Amhrán na Leabhar,https://youtu.be/OAce8DBTwDI,Irish,26/5/2024,Song Air,E,Dorian,
,397,A Stór mo Chroí,https://youtu.be/zpI-z9n10vU,Irish,29/5/2024,Song Air,A,minor,
,398,Easter Snow,https://youtu.be/6MlUKdJHlGE,Irish,1/6/2024,Song Air,G,Major,
,399,Bridget Cruise Second Air Air (O'Carolan's),https://youtu.be/jYYRP3l9aDk,Irish,4/6/2024,Song Air,D,Mixolydian,
,400,Paddy's Rambles Through The Park,https://youtu.be/z3z2mKpulUU,Irish,5/6/2024,Song Air,A,Mixolydian,
154,401,Seán Sa Cheo,https://youtu.be/narf4n7-6Nc,Irish,7/6/2024,Double Reel,A,Mixolydian,
154,402,The Boys in the Gap,https://youtu.be/UjP9yPuEysU,Irish,12/6/2024,Double Reel,D,Major,3
155,403,The Green field of Woodford,https://youtu.be/noVif7eVb5Q,Irish,21/6/2024,Double Jig,G,Major,3
155,404,Eddy Kelly's,https://youtu.be/T6pDmqENzks,Irish,23/6/2024,Double Jig,E,minor,2
155,405,Sonny Brogan's,https://youtu.be/m8dsMV5jbac,Irish,24/6/2024,Double Jig,A,Dorian,2
156,406,The New Century,https://youtu.be/hvTpO-ODvOE,Irish,26/6/2024,Hornpipe,G,Mixolydian,2
156,407,The Humours Of Ballyconnell,https://youtu.be/Az7-H-Hcyao,Irish,27/6/2024,Hornpipe,A,Mixolydian,2
156,408,The Byrne's Hornpipe,https://youtu.be/VtodcNhlNPc,Irish,28/6/2024,Hornpipe,D,Major,2
157,409,Tripping to the Well,https://youtu.be/HEJ0NC1glts,Irish,2/7/2024,Polka,G,Major,2
157,410,The Kiss Behind the Door,https://youtu.be/MOxQRBe9SyQ,Irish,3/7/2024,Polka,G,Major,2
158,411,The Chicago Reel ,https://youtu.be/QNX_WFbWC08,Irish,8/7/2024,Double Reel,A,minor,2
158,412,The Cottage in the Grove,https://youtu.be/J_unHehAflM,Irish,9/7/2024,Double Reel,A,Dorian,2
158,413,The Ladies Pantalettes,https://youtu.be/r5ke5HUXAsY,Irish,10/7/2024,Single Reel,G,Major,2
159,414,The Shandon Bells,https://youtu.be/EBsjfvrZr1c,Irish,15/7/2024,Double Jig,D,Major,2
159,415,The Legacy,https://youtu.be/hZVyyFfPnEA,Irish,16/7/2024,Double Jig,G,Major,2
160,416,The Road to Lisdoonvarna,https://youtu.be/ngkv4KXWFf4,Irish,18/7/2024,Single Reel,D,Mixolydian,2
160,417,Molly Bán,https://youtu.be/JGC7DdwaZEE,Irish,22/7/2024,Single Reel,E,minor,2
160,418,The Old Wheel of the World,https://youtu.be/FykkAbOGVu4,Irish,22/7/2024,Single Reel,A,Dorian,2
160,419,The Humours Of Loughrea,https://youtu.be/uYutlgYB7Vs,Irish,23/7/2024,Single Reel,G,Major,2
160,420,The Blackhaired Lass,https://youtu.be/QPn5MdheuAc,Irish,25/7/2024,Single Reel,A,Mixolydian,2
161,421,Barney Brannigan,https://youtu.be/Nj9VqYrIca0,Irish,28/7/2024,Slip Jig,D,Major,3
161,422,Ride A Mile,https://youtu.be/nxuZqrVSrg0,Irish,29/7/2024,Slip Jig,G,Major,3
162,423,Speed the Plough,https://youtu.be/kvBgtkfRFYk,Irish,1/8/2024,Double Reel,D,Major,2
162,424,Good Morning to Your Nightcap,https://youtu.be/QiNaEZQ7yy4,Irish,3/8/2024,Double Reel,A,minor,2
162,425,The Boy in the Boat,https://youtu.be/ry06Ci_r7yY,Irish,2/8/2024,Double Reel,G,Major,2
163,426,The First House in Connaught,https://youtu.be/U6cXiO0fDXM,Irish,7/8/2024,Double Reel,G,Major,2
163,427,The Swallotail Reel,https://youtu.be/XB-zMuDEyIY,Irish,10/8/2024,Double Reel,A,Dorian,2
163,428,The Stoney Steps,https://youtu.be/ECkIxXRYYLA,Irish,11/8/2024,Single Reel,D,Major,2
164,429,James Gannon's Barndance,https://youtu.be/eClc-RlWhb8,Irish,15/8/2024,Barndance,G,Major,2
164,430,McDermott's Barndance,https://youtu.be/7wnNLdnwAW0,Irish,16/8/2024,Barndance,G,Major,2
165,431,Tommy Peoples',https://youtu.be/fzwD9D3ox38,Irish,17/8/2024,Single Reel,G,Major,2
165,432,Tommy Peoples',https://youtu.be/VG0HSZ4l1j4,Irish,19/8/2024,Single Reel,B,minor,2
165,433,Black Pat's,https://youtu.be/R7HOqpFlt4I,Irish,20/8/2024,Double Reel,G,Major,4
166,434,The Lilting Fisherman,https://youtu.be/YO5jhkXIuBE,Irish,23/8/2024,Double Jig,G,Major,2
166,435,Old Joe,https://youtu.be/iS28-cqdIPo,Irish,24/8/2024,Double Jig,D,Major,2
166,436,Sean Tiobraid Arann,https://youtu.be/SwcFZ7lQg8k,Irish,25/8/2024,Double Jig,G,Major,2
167,437,Teahan's Favourite,https://youtu.be/5kXtfxPSubk,Irish,30/8/2024,Slide,E,minor,2
167,438,Going To The Well For Water,https://youtu.be/PWg9zL5M-ug,Irish,31/8/2024,Slide,D,Major,2
167,439,The Cock of the North,https://youtu.be/wCLQNuTzWoM,Irish,2/9/2024,Slide,G,Major,2
168,440,The Ace and Deuce of Piping,https://youtu.be/siNndekK_A4,Irish,3/9/2024,Set Dance,G,Major,2
168,441,The Enchanted Lady,https://youtu.be/rIn75kn1emw,Irish,5/9/2024,Single Reel,D,Major,2
168,442,The Holy Land,https://youtu.be/RJ7yIBShu8E,Irish,6/9/2024,Single Reel,D,Major,2
169,443,The Pipe on the Hob #1,https://youtu.be/84VNYvuK_Q0,Irish,8/9/2024,Double Jig,D,Major,2
169,444,The Pipe on the Hob #2,https://youtu.be/uc8-Od8fuXo,Irish,9/9/2024,Double Jig,A,Dorian,2
169,445,The Bank of Turf,https://youtu.be/6knOc7M0zus,Irish,10/9/2024,Double Jig,D,Major,2
,446,Frieze Britches,https://youtu.be/sKqaKMpgrD4,Irish,13/9/2024,Double Jig,D,Major,4
,447,Stor mo Chroi,https://youtu.be/zOzYigGP4oA,Irish,17/9/2024,Slow Air,,,
170,448,The Cobbler's,https://youtu.be/fujZVX2KfRY,Irish,19/9/2024,Polka,B,minor,2
170,449,Downey's,https://youtu.be/idiZRrDL5_s,Irish,20/9/2024,Polka,E,minor,2
170,450,Ballyhoura Mountains,https://youtu.be/6R7XBTlHyqU,Irish,21/9/2024,Polka,A,Major,2
171,451,The Palm Sunday,https://youtu.be/Rhv2sCu8hbs,Irish,24/9/2024,Double Jig,A,minor,2
171,452,The Humours of Kiltyclogher,https://youtu.be/TsLjHHFKWV0,Irish,25/9/2024,Double Jig,D,Mixolydian,2
171,453,Scully Casey's,https://youtu.be/IRW3kdGQErI,Irish,26/9/2024,Double Jig,D,Major,2
172,454,The Torn Jacket,https://youtu.be/2RFnn7c2xdo,Irish,29/9/2024,Double Reel,D,Major,2
172,455,The Maid Behind the Barrel,https://youtu.be/yXVerz14bKc,Irish,30/9/2024,Double Reel,G,Major,4
173,456,Give us a Drink of Water,https://youtu.be/3efZ8XCoc_Q,Irish,4/10/2024,Slip Jig,G,Major,2
173,457,The Humours of Wiskey,https://youtu.be/6-3a4ywfvDA,Irish,5/10/2024,Slip Jig,B,minor,2
173,458,The Drops of Brandy,https://youtu.be/ZWOvSNXQ7Yw,Irish,6/10/2024,Slip Jig,G,Major,2
174,459,Comb Your Hair And Curl It,https://youtu.be/pl1uz5e-Iyk,Irish,9/10/2024,Hop Jig,E,Dorian,2
174,460,The Rocky Road to Dublin,https://youtu.be/Y79uOzeHrBQ,Irish,11/10/2024,Hop Jig,A,Dorian,2
175,461,Cuilinn Uí Chaoimh,https://youtu.be/vyv-sbyKanI,Irish,12/10/2024,Double Jig,D,Major,2
175,462,Joe Deranne's Jig,https://youtu.be/L2DauycB3PM,Irish,14/10/2024,Double Jig,B,minor,2
175,463,Port Na Cordaile,https://youtu.be/ivx7NHmsYnY,Irish,15/10/2024,Double Jig,D,Major,2
176,464,The Harp and Shamrock,https://youtu.be/kf-DyWk1Zz8,Irish,17/10/2024,Hornpipe,G,Major,2
,465,The Bird,https://youtu.be/pfPgsFiObAk,Irish,19/10/2024,Hornpipe,C,Major,2